S 64a168(set 11 of 32),4 miss eviction 
S 64a25c(set 18 of 32),4 miss eviction 
S 64a350(set 26 of 32),4 miss eviction 
S 64a444(set 2 of 32),4 miss eviction 
S 64a538(set 9 of 32),4 miss eviction 
S 64a62c(set 17 of 32),4 miss eviction 
L 60828c(set 20 of 32),4 miss eviction 
L 608290(set 20 of 32),4 hit 
L 608294(set 20 of 32),4 hit 
L 608298(set 20 of 32),4 hit 
L 60829c(set 20 of 32),4 hit 
L 6082a0(set 21 of 32),4 miss eviction 
L 6082a4(set 21 of 32),4 hit 
L 6082a8(set 21 of 32),4 hit 
S 649f84(set 28 of 32),4 hit 
S 64a078(set 3 of 32),4 hit 
S 64a16c(set 11 of 32),4 hit 
S 64a260(set 19 of 32),4 miss eviction 
S 64a354(set 26 of 32),4 hit 
S 64a448(set 2 of 32),4 hit 
S 64a53c(set 9 of 32),4 hit 
S 64a630(set 17 of 32),4 hit 
L 608398(set 28 of 32),4 miss eviction 
L 60839c(set 28 of 32),4 hit 
L 6083a0(set 29 of 32),4 miss eviction 
L 6083a4(set 29 of 32),4 hit 
L 6083a8(set 29 of 32),4 hit 
L 6083ac(set 29 of 32),4 hit 
L 6083b0(set 29 of 32),4 hit 
L 6083b4(set 29 of 32),4 hit 
S 649f88(set 28 of 32),4 miss eviction 
S 64a07c(set 3 of 32),4 hit 
S 64a170(set 11 of 32),4 hit 
S 64a264(set 19 of 32),4 hit 
S 64a358(set 26 of 32),4 hit 
S 64a44c(set 2 of 32),4 hit 
S 64a540(set 10 of 32),4 miss eviction 
S 64a634(set 17 of 32),4 hit 
L 6084a4(set 5 of 32),4 miss eviction 
L 6084a8(set 5 of 32),4 hit 
L 6084ac(set 5 of 32),4 hit 
L 6084b0(set 5 of 32),4 hit 
L 6084b4(set 5 of 32),4 hit 
L 6084b8(set 5 of 32),4 hit 
L 6084bc(set 5 of 32),4 hit 
L 6084c0(set 6 of 32),4 miss eviction 
S 649f8c(set 28 of 32),4 hit 
S 64a080(set 4 of 32),4 miss eviction 
S 64a174(set 11 of 32),4 hit 
S 64a268(set 19 of 32),4 hit 
S 64a35c(set 26 of 32),4 hit 
S 64a450(set 2 of 32),4 hit 
S 64a544(set 10 of 32),4 hit 
S 64a638(set 17 of 32),4 hit 
L 6085b0(set 13 of 32),4 miss eviction 
L 6085b4(set 13 of 32),4 hit 
L 6085b8(set 13 of 32),4 hit 
L 6085bc(set 13 of 32),4 hit 
L 6085c0(set 14 of 32),4 miss eviction 
L 6085c4(set 14 of 32),4 hit 
L 6085c8(set 14 of 32),4 hit 
L 6085cc(set 14 of 32),4 hit 
S 649f90(set 28 of 32),4 hit 
S 64a084(set 4 of 32),4 hit 
S 64a178(set 11 of 32),4 hit 
S 64a26c(set 19 of 32),4 hit 
S 64a360(set 27 of 32),4 miss eviction 
S 64a454(set 2 of 32),4 hit 
S 64a548(set 10 of 32),4 hit 
S 64a63c(set 17 of 32),4 hit 
L 6086bc(set 21 of 32),4 miss eviction 
L 6086c0(set 22 of 32),4 miss eviction 
L 6086c4(set 22 of 32),4 hit 
L 6086c8(set 22 of 32),4 hit 
L 6086cc(set 22 of 32),4 hit 
L 6086d0(set 22 of 32),4 hit 
L 6086d4(set 22 of 32),4 hit 
L 6086d8(set 22 of 32),4 hit 
S 649f94(set 28 of 32),4 hit 
S 64a088(set 4 of 32),4 hit 
S 64a17c(set 11 of 32),4 hit 
S 64a270(set 19 of 32),4 hit 
S 64a364(set 27 of 32),4 hit 
S 64a458(set 2 of 32),4 hit 
S 64a54c(set 10 of 32),4 hit 
S 64a640(set 18 of 32),4 miss eviction 
L 6087c8(set 30 of 32),4 miss eviction 
L 6087cc(set 30 of 32),4 hit 
L 6087d0(set 30 of 32),4 hit 
L 6087d4(set 30 of 32),4 hit 
L 6087d8(set 30 of 32),4 hit 
L 6087dc(set 30 of 32),4 hit 
L 6087e0(set 31 of 32),4 miss eviction 
L 6087e4(set 31 of 32),4 hit 
S 649f98(set 28 of 32),4 hit 
S 64a08c(set 4 of 32),4 hit 
S 64a180(set 12 of 32),4 miss eviction 
S 64a274(set 19 of 32),4 hit 
S 64a368(set 27 of 32),4 hit 
S 64a45c(set 2 of 32),4 hit 
S 64a550(set 10 of 32),4 hit 
S 64a644(set 18 of 32),4 hit 
L 6088d4(set 6 of 32),4 miss eviction 
L 6088d8(set 6 of 32),4 hit 
L 6088dc(set 6 of 32),4 hit 
